player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
231747,/player/231747/kylian-mbappe/230002,23.0,2.0,2022-09-26,K. Mbappé,Kylian Mbappé Lottin,"ST, LW",91,95,190500000.0,230000.0,23,1998-12-20,182,73,73.0,Paris Saint Germain,16.0,Ligue 1,1.0,ST,7.0,,2018-07-01,2024.0,18,France,1335.0,LS,10.0,Right,4,5,4,High/Low,Unique,Yes,366700000.0,"#Speedster, #Dribbler, #Acrobat, #Clinical Finisher, #Complete Forward","Solid Player, Flair, Speed Dribbler (AI), Outside Foot Shot, Technical Dribbler (AI)",97.0,89.0,80.0,92.0,36.0,76.0,78,93,72,85,83,93,80,69,71,91,97,97,93,93,81,88,77,87,76,82,64,38,92,83,80,88.0,26,34,32,13,5,7,11,6,,89+3,89+3,89+3,90,90,90,90,90,89+3,89+3,89+3,89+3,81+3,81+3,81+3,89+3,67+3,63+3,63+3,63+3,67+3,63+3,54+3,54+3,54+3,63+3,18+3
158023,/player/158023/lionel-messi/230002,23.0,2.0,2022-09-26,L. Messi,Lionel Andrés Messi Cuccittini,RW,91,91,54000000.0,195000.0,35,1987-06-24,169,67,73.0,Paris Saint Germain,16.0,Ligue 1,1.0,RW,30.0,,2021-08-10,2023.0,52,Argentina,1369.0,RW,10.0,Left,4,4,5,Low/Low,Unique,Yes,99900000.0,"#Dribbler, #Distance Shooter, #FK Specialist, #Acrobat, #Clinical Finisher, #Complete Forward","Finesse Shot, Long Shot Taker (AI), Playmaker (AI), Outside Foot Shot, Chip Shot (AI), Technical Dribbler (AI)",81.0,89.0,90.0,94.0,34.0,64.0,84,90,70,91,88,95,93,93,90,93,87,76,91,92,95,86,68,70,68,91,44,40,93,94,75,96.0,20,35,24,6,11,15,14,8,,87+3,87+3,87+3,90,91,91,91,90,92-1,92-1,92-1,89+2,85+3,85+3,85+3,89+2,64+3,63+3,63+3,63+3,64+3,59+3,50+3,50+3,50+3,59+3,19+3
165153,/player/165153/karim-benzema/230002,23.0,2.0,2022-09-26,K. Benzema,Karim Benzema,"CF, ST",91,91,64000000.0,450000.0,34,1987-12-19,185,81,243.0,Real Madrid,53.0,La Liga,1.0,CF,9.0,,2009-07-09,2023.0,18,France,1335.0,RS,19.0,Right,4,4,4,Medium/Medium,Normal (170-185),Yes,131200000.0,"#Poacher, #Clinical Finisher","Leadership, Finesse Shot, Playmaker (AI), Outside Foot Shot, Team Player",80.0,88.0,83.0,87.0,39.0,78.0,75,92,90,89,88,87,82,73,76,91,79,80,78,92,72,87,79,82,82,80,63,39,92,89,84,90.0,43,24,18,13,11,5,5,7,,89+2,89+2,89+2,87,89,89,89,87,88+3,88+3,88+3,86+3,81+3,81+3,81+3,86+3,64+3,64+3,64+3,64+3,64+3,60+3,55+3,55+3,55+3,60+3,18+3
188545,/player/188545/robert-lewandowski/230002,23.0,2.0,2022-09-26,R. Lewandowski,Robert Lewandowski,ST,91,91,84000000.0,420000.0,33,1988-08-21,185,81,241.0,FC Barcelona,53.0,La Liga,1.0,ST,9.0,,2022-07-18,2025.0,37,Poland,1353.0,ST,9.0,Right,4,4,5,High/Medium,Unique,Yes,172200000.0,"#Aerial Threat, #Distance Shooter, #Clinical Finisher, #Complete Forward","Solid Player, Finesse Shot, Outside Foot Shot, Chip Shot (AI)",75.0,91.0,79.0,86.0,44.0,83.0,71,94,91,84,89,85,79,85,70,89,76,75,77,93,82,91,85,76,87,84,81,49,94,81,90,88.0,35,42,19,15,6,12,8,10,,89+2,89+2,89+2,85,88,88,88,85,85+3,85+3,85+3,83+3,80+3,80+3,80+3,83+3,64+3,66+3,66+3,66+3,64+3,61+3,60+3,60+3,60+3,61+3,19+3
192985,/player/192985/kevin-de-bruyne/230002,23.0,2.0,2022-09-26,K. De Bruyne,Kevin De Bruyne,"CM, CAM",91,91,107500000.0,350000.0,31,1991-06-28,181,70,10.0,Manchester City,13.0,Premier League,1.0,RCM,17.0,,2015-08-30,2025.0,7,Belgium,1325.0,RF,7.0,Right,5,4,4,High/High,Unique,Yes,198900000.0,"#Dribbler, #Playmaker, #Engine, #Distance Shooter, #Crosser, #Complete Midfielder","Injury Prone, Leadership, Early Crosser, Long Passer (AI), Long Shot Taker (AI), Playmaker (AI), Outside Foot Shot",74.0,88.0,93.0,87.0,64.0,77.0,94,85,55,93,83,88,89,83,93,90,76,73,76,91,78,92,63,88,74,91,75,66,88,94,83,89.0,68,65,53,15,13,5,10,13,,83+3,83+3,83+3,88,87,87,87,88,89+2,89+2,89+2,88+3,89+2,89+2,89+2,88+3,79+3,79+3,79+3,79+3,79+3,75+3,69+3,69+3,69+3,75+3,21+3
192119,/player/192119/thibaut-courtois/230002,23.0,2.0,2022-09-26,T. Courtois,Thibaut Nicolas Marc Courtois,GK,90,91,90000000.0,250000.0,30,1992-05-11,199,96,243.0,Real Madrid,53.0,La Liga,1.0,GK,1.0,,2018-08-09,2026.0,7,Belgium,1325.0,GK,1.0,Left,3,1,4,Medium/Medium,Unique,Yes,191300000.0,,"GK Long Throw, Comes For Crosses",,,,,,,14,14,13,33,12,13,19,20,35,23,42,52,63,84,45,56,68,38,70,17,23,15,13,44,27,66.0,20,18,16,84,89,75,89,90,46.0,31+3,31+3,31+3,29,31,31,31,29,32+3,32+3,32+3,31+3,32+3,32+3,32+3,31+3,29+3,31+3,31+3,31+3,29+3,29+3,29+3,29+3,29+3,29+3,87+3
20801,/player/20801/c-ronaldo-dos-santos-aveiro/230002,23.0,2.0,2022-09-26,Cristiano Ronaldo,Cristiano Ronaldo dos Santos Aveiro,ST,90,90,41000000.0,220000.0,37,1985-02-05,187,83,11.0,Manchester United,13.0,Premier League,1.0,SUB,7.0,,2021-08-27,2023.0,38,Portugal,1354.0,ST,7.0,Right,4,5,5,High/Low,Unique,Yes,77900000.0,"#Aerial Threat, #Distance Shooter, #Clinical Finisher, #Complete Forward","Power Free-Kick, Flair, Long Shot Taker (AI), Outside Foot Shot",81.0,92.0,78.0,85.0,34.0,75.0,80,93,90,80,86,85,81,79,75,88,79,83,77,94,67,93,95,76,77,90,63,29,95,76,90,95.0,24,32,24,7,11,15,14,11,,89+1,89+1,89+1,86,88,88,88,86,85+3,85+3,85+3,84+3,78+3,78+3,78+3,84+3,62+3,59+3,59+3,59+3,62+3,58+3,53+3,53+3,53+3,58+3,20+3
167495,/player/167495/manuel-neuer/230002,23.0,2.0,2022-09-26,M. Neuer,Manuel Peter Neuer,GK,90,90,13500000.0,72000.0,36,1986-03-27,193,93,21.0,FC Bayern München,19.0,Bundesliga,1.0,GK,1.0,,2011-07-01,2024.0,21,Germany,1337.0,GK,1.0,Right,4,1,5,Medium/Medium,Unique,Yes,22300000.0,,"Leadership, GK Long Throw, Rushes Out Of Goal, Comes For Crosses",,,,,,,15,13,25,60,11,30,14,11,68,46,54,60,51,87,35,68,77,43,80,16,29,30,12,70,47,70.0,17,10,11,87,88,91,91,88,56.0,40+3,40+3,40+3,40,43,43,43,40,47+3,47+3,47+3,44+3,50+3,50+3,50+3,44+3,37+3,43+3,43+3,43+3,37+3,35+3,34+3,34+3,34+3,35+3,88+2
203376,/player/203376/virgil-van-dijk/230002,23.0,2.0,2022-09-26,V. van Dijk,Virgil van Dijk,CB,90,90,98000000.0,230000.0,30,1991-07-08,193,92,9.0,Liverpool,13.0,Premier League,1.0,LCB,4.0,,2018-01-01,2025.0,34,Netherlands,105035.0,CB,4.0,Right,3,2,4,Medium/High,Unique,Yes,181300000.0,"#Tackling, #Tactician, #Strength, #Complete Defender","Leadership, Long Passer (AI), Power Header",81.0,60.0,71.0,72.0,91.0,86.0,53,52,87,79,45,70,60,70,86,76,68,91,61,89,53,81,88,74,93,64,85,90,47,65,62,90.0,92,92,86,13,10,13,11,11,,71+3,71+3,71+3,68,70,70,70,68,70+3,70+3,70+3,70+3,76+3,76+3,76+3,70+3,80+3,85+3,85+3,85+3,80+3,82+3,89+1,89+1,89+1,82+3,20+3
209331,/player/209331/mohamed-salah/230002,23.0,2.0,2022-09-26,M. Salah,Mohamed Salah Ghaly,RW,90,90,115500000.0,270000.0,30,1992-06-15,175,71,9.0,Liverpool,13.0,Premier League,1.0,RW,11.0,,2017-07-01,2023.0,111,Egypt,,,,Left,3,4,4,High/Medium,Unique,Yes,213700000.0,"#Speedster, #Dribbler, #Acrobat, #Clinical Finisher, #Complete Forward","Finesse Shot, Long Shot Taker (AI), Speed Dribbler (AI), Outside Foot Shot, Chip Shot (AI)",90.0,89.0,82.0,90.0,45.0,75.0,80,93,59,84,84,90,84,69,77,88,89,91,90,93,91,83,69,87,75,85,63,55,92,85,86,92.0,38,43,41,14,14,9,11,14,,86+3,86+3,86+3,88,88,88,88,88,88+2,88+2,88+2,87+3,82+3,82+3,82+3,87+3,71+3,68+3,68+3,68+3,71+3,67+3,58+3,58+3,58+3,67+3,22+3
